section,metric,month,value,month_date
Time between Booking Date and Appointment Date,1 Day,Feb-21,0.105423590962844,2021-02-01
Time between Booking Date and Appointment Date,1 Day,Feb-21,2361443.0,2021-02-01
Time between Booking Date and Appointment Date,1 Day,Mar-21,0.0990055838983444,2021-03-01
Time between Booking Date and Appointment Date,1 Day,Mar-21,2695469.0,2021-03-01
Time between Booking Date and Appointment Date,1 Day,Apr-21,0.0963851153344993,2021-04-01
Time between Booking Date and Appointment Date,1 Day,Apr-21,2301670.0,2021-04-01
Time between Booking Date and Appointment Date,1 Day,May-21,0.0931037189055229,2021-05-01
Time between Booking Date and Appointment Date,1 Day,May-21,2188719.0,2021-05-01
Time between Booking Date and Appointment Date,1 Day,Jun-21,0.0891980572712655,2021-06-01
Time between Booking Date and Appointment Date,1 Day,Jun-21,2389097.0,2021-06-01
Time between Booking Date and Appointment Date,1 Day,Jul-21,0.0910887000883749,2021-07-01
Time between Booking Date and Appointment Date,1 Day,Jul-21,2344552.0,2021-07-01
Time between Booking Date and Appointment Date,1 Day,Aug-21,0.0846178320623309,2021-08-01
Time between Booking Date and Appointment Date,1 Day,Aug-21,2018319.0,2021-08-01
Time between Booking Date and Appointment Date,1 Day,Sep-21,0.0934725885363279,2021-09-01
Time between Booking Date and Appointment Date,1 Day,Sep-21,2666072.0,2021-09-01
Time between Booking Date and Appointment Date,1 Day,Oct-21,0.0857487537715525,2021-10-01
Time between Booking Date and Appointment Date,1 Day,Oct-21,2598516.0,2021-10-01
Time between Booking Date and Appointment Date,1 Day,Nov-21,0.0824379618267611,2021-11-01
Time between Booking Date and Appointment Date,1 Day,Nov-21,2506532.0,2021-11-01
Time between Booking Date and Appointment Date,1 Day,Dec-21,0.0882714201025458,2021-12-01
Time between Booking Date and Appointment Date,1 Day,Dec-21,2219212.0,2021-12-01
Time between Booking Date and Appointment Date,1 Day,Jan-22,0.091056400985603,2022-01-01
Time between Booking Date and Appointment Date,1 Day,Jan-22,2334274.0,2022-01-01
Time between Booking Date and Appointment Date,1 Day,Feb-22,0.0896430563125758,2022-02-01
Time between Booking Date and Appointment Date,1 Day,Feb-22,2272923.0,2022-02-01
Time between Booking Date and Appointment Date,1 Day,Mar-22,0.0915479177827752,2022-03-01
Time between Booking Date and Appointment Date,1 Day,Mar-22,2709362.0,2022-03-01
Time between Booking Date and Appointment Date,1 Day,Apr-22,0.0873538756970099,2022-04-01
Time between Booking Date and Appointment Date,1 Day,Apr-22,2088881.0,2022-04-01
Time between Booking Date and Appointment Date,1 Day,May-22,0.0825838806923792,2022-05-01
Time between Booking Date and Appointment Date,1 Day,May-22,2270686.0,2022-05-01
Time between Booking Date and Appointment Date,1 Day,Jun-22,0.0847224807719053,2022-06-01
Time between Booking Date and Appointment Date,1 Day,Jun-22,2188198.0,2022-06-01
Time between Booking Date and Appointment Date,1 Day,Jul-22,0.0836715916104564,2022-07-01
Time between Booking Date and Appointment Date,1 Day,Jul-22,2168379.0,2022-07-01
Time between Booking Date and Appointment Date,1 Day,Aug-22,0.0808163247740055,2022-08-01
Time between Booking Date and Appointment Date,1 Day,Aug-22,2140737.0,2022-08-01
Time between Booking Date and Appointment Date,1 Day,Sep-22,0.0819980958445659,2022-09-01
Time between Booking Date and Appointment Date,1 Day,Sep-22,2317549.0,2022-09-01
Time between Booking Date and Appointment Date,1 Day,Oct-22,0.0735509590231759,2022-10-01
Time between Booking Date and Appointment Date,1 Day,Oct-22,2353639.0,2022-10-01
Time between Booking Date and Appointment Date,1 Day,Nov-22,0.0824733322749887,2022-11-01
Time between Booking Date and Appointment Date,1 Day,Nov-22,2576777.0,2022-11-01
Time between Booking Date and Appointment Date,1 Day,Dec-22,0.0822694622087891,2022-12-01
Time between Booking Date and Appointment Date,1 Day,Dec-22,2201922.0,2022-12-01
Time between Booking Date and Appointment Date,1 Day,Jan-23,0.0827877647739443,2023-01-01
Time between Booking Date and Appointment Date,1 Day,Jan-23,2438442.0,2023-01-01
Time between Booking Date and Appointment Date,1 Day,Feb-23,0.080070362495867,2023-02-01
Time between Booking Date and Appointment Date,1 Day,Feb-23,2183399.0,2023-02-01
Time between Booking Date and Appointment Date,1 Day,Mar-23,0.0817624320964223,2023-03-01
Time between Booking Date and Appointment Date,1 Day,Mar-23,2578346.0,2023-03-01
Time between Booking Date and Appointment Date,1 Day,Apr-23,0.0785123282753925,2023-04-01
Time between Booking Date and Appointment Date,1 Day,Apr-23,1896736.0,2023-04-01
Time between Booking Date and Appointment Date,1 Day,May-23,0.0764792068862588,2023-05-01
Time between Booking Date and Appointment Date,1 Day,May-23,2117366.0,2023-05-01
Time between Booking Date and Appointment Date,1 Day,Jun-23,0.0794575623988313,2023-06-01
Time between Booking Date and Appointment Date,1 Day,Jun-23,2335574.0,2023-06-01
Time between Booking Date and Appointment Date,1 Day,Jul-23,0.0750295734791091,2023-07-01
Time between Booking Date and Appointment Date,1 Day,Jul-23,2082923.0,2023-07-01
Time between Booking Date and Appointment Date,1 Day,Jul-23,0.0750532234687533,2023-07-01
Time between Booking Date and Appointment Date,1 Day,Jul-23,2083395.0,2023-07-01
Time between Booking Date and Appointment Date,1 Day,Aug-23,0.0809116674127331,2023-08-01
Time between Booking Date and Appointment Date,1 Day,Aug-23,2281448.0,2023-08-01
Time between Booking Date and Appointment Date,1 Day,Sep-23,0.0751088741070452,2023-09-01
Time between Booking Date and Appointment Date,1 Day,Sep-23,2336000.0,2023-09-01
Time between Booking Date and Appointment Date,1 Day,Oct-23,0.0717248207941526,2023-10-01
Time between Booking Date and Appointment Date,1 Day,Oct-23,2453193.0,2023-10-01
Time between Booking Date and Appointment Date,1 Day,Nov-23,0.0794830655785099,2023-11-01
Time between Booking Date and Appointment Date,1 Day,Nov-23,2500181.0,2023-11-01
Time between Booking Date and Appointment Date,1 Day,Dec-23,0.0788717157964212,2023-12-01
Time between Booking Date and Appointment Date,1 Day,Dec-23,2032700.0,2023-12-01
Time between Booking Date and Appointment Date,1 Day,Jan-24,0.0808940723726387,2024-01-01
Time between Booking Date and Appointment Date,1 Day,Jan-24,2621856.0,2024-01-01
Time between Booking Date and Appointment Date,1 Day,Feb-24,0.0780487782502066,2024-02-01
Time between Booking Date and Appointment Date,1 Day,Feb-24,2382090.0,2024-02-01
Time between Booking Date and Appointment Date,1 Day,Mar-24,0.0773764577664726,2024-03-01
Time between Booking Date and Appointment Date,1 Day,Mar-24,2283701.0,2024-03-01
Time between Booking Date and Appointment Date,1 Day,Apr-24,0.0746584981056309,2024-04-01
Time between Booking Date and Appointment Date,1 Day,Apr-24,2247181.0,2024-04-01
Time between Booking Date and Appointment Date,1 Day,May-24,0.0781986848135653,2024-05-01
Time between Booking Date and Appointment Date,1 Day,May-24,2351883.0,2024-05-01
Time between Booking Date and Appointment Date,1 Day,Jun-24,0.075350012260676,2024-06-01
Time between Booking Date and Appointment Date,1 Day,Jun-24,2119640.0,2024-06-01
Time between Booking Date and Appointment Date,1 Day,Jul-24,0.0771495653432074,2024-07-01
Time between Booking Date and Appointment Date,1 Day,Jul-24,2406917.0,2024-07-01
